,comment
82,Tuy ALT dành một chiến thắng xứng đáng nhưng mình vẫn thíckk MU dành chiến thắng hơn🤧
83,"Oblak khoẻ quá 
Toàn mấy quả nã đạn mà ôm gọn"
84,Nói chung là ae fan Mu cũng k kì vọng nhiều chỉ thấy thương CR7 thôi anh già quá rồi 😢
85,Buồn của Gea và Ronaldo đô 2con người luôn cố gắng vì tất cả
86,Max hài phòng thủ quá hay bằng cách chỉ tay ❤️
87,Ở c1 thì lối đá ko muốn thua thay vì muốn thắng của aletico hay chelese dễ vô địch
88,Ở tình huống cầu thủ ATM ghi bàn thì De Gea có thể làm tốt hơn nếu như a ấy không phải để mắt đến siêu tiền đạo mằc hài...
89,Xem thấy tội a7 và DeGea thật 🥲. Thật ra trận này họ đá rất tốt còn gì . Chỉ thiếu sự may mắn 🙆
90,Chân sút duy nhất khiến Degea run sợ. Harry maguireeeereeeee 😄😄😄 chúc mừng MU quay về cuộc đua dành top 4 EPL
91,Lối đá cá nhân của MU làm NHM vỡ mộng chiếc cúp danh giá. Chỉ tội cho Ronaldo chạy lòng vòng mà ko  ai chuyền bóng
92,Tội nghiệp cho de gea 😞
93,Trận này MU đá tốt mà nhưng thủ môn bên ATL cứng quá cứng
94,"Tội ông HLV bị ném chai nước, tội a 7 bị Magiue cho 1 quả húc đầu vào ngay mồm, tội cho Bruno cứ nói suốt không chịu tập trung đá, tội cho quỷ đỏ lại thêm 1 mùa giải nữa trắng tay..."
95,Đệ nhất danh hài Maguire mãi đỉnh😂
96,Mọi thứ sẽ bắt đầu với ManU ở mùa sau 😂
97,Ko thấy các tình huống phối hợp trong vòng cấm. Mạnh ai nấy sút thì sẽ khó có bàn thắng vì những tình huống như vậy thủ chủ động hơn.
98,"Mu trận này đá cũng tốt, fred đá khá lên chân, khâu dứt điểm còn chưa bén lắm,, obalak bắt quá hay chắc chắn ra vào hợp lý, ATM chơi lì và tiểu xảo,"
99,"Điểm chung giữa MU (21/22) vs Chelsea (20/21):
- Đều sa thải HLV là huyền thoại của CLB giữa mùa
- Đều bổ nhiệm HLV người Đức
- Đều gặp đội Atletico de Madrid tại UCL"
100,tui coi song hết trận mà tui khóc á tại tui là fan man udt rất quan trọng vs man utd
101,Chia buồn với MU thế là hai siêu sao dắt tay nhau khỏi C1 giống như World Cup 2018
102,Khi de gea chơi suất xắc thì chúng ta hiểu những người phía trên thi đấu tn
103,Chúc mừng MU về tập trung cho giải đấu quốc nội nhé
104,hàng thủ MU phong độ ổn định quá
105,"Chúc mừng A.Mardrid, chia buồn với các phan MU"
106,Thực lực ko có sao phải buồn.mừng là loại sớm cho biết mình đang ở đâu để chuẩn bị mùa tới.🤣
107,chúc mừng M.U đạt ước mơ vô địch C1 nhé
108,BHL MU cần xem lại đội bóng. Hàng thủ và tiền vệ chiều sâu. Phải nói là kém cần mua thêm cầu thủ ở 2 tuyến này
109,"Không còn Messi và  Ronaldo nữa, không biết còn bao nhiêu dịp để xem 2 anh thi đấu C1 😥😥😥"
110,Buồn cho những huyền thoại!
111,"Phỏng vấn sau trận: 
PV: Chào Ralf, ông có cảm nghĩ gì sau trận đấu?
Ralf: Im mồm đi, việc của chúng tôi là tập trung cho trận sắp tới 🤣🤣🤣"
112,Chúc mừng Mu làm kẻ được chọn
113,Cuối cùng Simeone đã giải lời nguyền bị loại bởi đội bóng có Ronaldo👍👍👍. Chúc mừng ông
114,"Vui quá, chúc mừng Atletico madrid, chúc mừng Griezmann ❤️"
115,phút 8:35 1 hình ảnh thật đẹp của mnsđ dành cho đội khách 😀
116,Cười ông blv Messi đã gọi và Ronaldo trả lời hài vc🤣🤣
117,Vấn đề hàng thủ của Manchester United đã có từ thời của Ole Gunnar Solskjær nhưng bây giờ vẫn không cải thiện.
118,Mù u đã làm rất tốt trong việc nhường vé cho đối thủ đi tiếp
119,"Tôi thấy 2 đội này đá rất cân sức, cũng ko hẳn là ATM mạnh hơn thắng rất sát nút quá tiếc cho Man Utd"
120,Thua không sao cả. Thua để nhận ra mình đang ở vị trí. Nào. Và những sai lầm nào mình lên khắc phục. Cố lên MU. Tôi Vẫn Yêu Bạn Từ Năm 99 đến giờ
121,Vậy là cả 2 huyền thoại đều phải rời giải mong 2 anh vẫn cống hiến hết mình ở giải quốc nội
122,MU 2008/2009 ngày xưa còn mạnh chứ MU bây giờ đá với đội bét bảng còn bị cầm hoà thì làm sao mà có khả chen tran vào tốp 4 được
123,"Đầu mùa ăn 6, giữa mùa ăn 3, cuối mùa đầy cup
Tuyên bố đã hết phim hài trong mùa giải này. Có lẽ đây là trận đấu c1 cuối cùng của bổn lầy. Thật đáng tiếc 😭"
124,"2:58 vs 5:55
Lần 1 Mắc hài chỉ sút vậy mà De Paul  sút k dô tức thiệt 🤣🤣🤣🤣
Lần 2 ,  Mé m xui quá De Paul 🤣🤣🤣🤣
Thêm quả Bonus hút vào mồm Cr7 nữa chứ 👍👍👍"
125,"Thua là thua, trái bóng tròn không nên tiếc"
126,Thức đến 5h sáng chỉ để xem anh 7 ở nhà xem C1. Lối đá của MU hiện tại rất khó có thể chiến thắng được kỉ luật của xe bus nhiều tầng ATM.
127,"Ngày xưa Messi ghi bàn gọi Rô trả lời, bây giờ già rồi 2 a gọi nhau về nhà 😔"
128,Dù gì thì Aletico vào vòng trong vẫn xứng đáng hơn. MU vào thì các đội khác thích quá.
129,"Khá tiếc cho anh 7, nhưng MU loại tôi vẫn mừng."
130,2 thủ môn quá chất lượng !
131,Khi mà 2 thành Madrid của tôi đều làm đc tôi thấy quá vui và sẽ cổ vũ 2 thành Madrid trong lúc bốc thăm vòng tứ kết
132,Vẫn là Hà Duy Mắc Hài 😂😂😂. Khắc tinh của De Gea 😭😭😭
133,Cvđ hành xử văn minh quá :)
